"name"	"formals"	"inherited_from_0_4"
"duration_prediction_scores"	"x=<MISSING>; observed=NULL"	TRUE
"duration_qq_table"	"x=<MISSING>; probs=seq(0.05, 0.95, by = 0.05)"	TRUE
"duration_quantile_calibration"	"x=<MISSING>; quantiles=c(0.1, 0.25, 0.5, 0.75, 0.9)"	TRUE
"duration_tail_check"	"x=<MISSING>; threshold=<MISSING>"	TRUE
"estimand_sensitivity_table"	"x=<MISSING>"	TRUE
"estimate_binocular_pupil_trajectory"	"fit=<MISSING>; newdata=NULL; ndraws=500L; probability=0.95"	FALSE
"estimate_model_estimands"	"fit=<MISSING>; ...=<MISSING>"	TRUE
"estimate_pupil_auc"	"prediction=<MISSING>; window=<MISSING>; probability=0.95"	TRUE
"estimate_pupil_dynamic_contrast"	"prediction=<MISSING>; contrast=<MISSING>; threshold=0; probability=0.95"	FALSE
"estimate_pupil_peak"	"prediction=<MISSING>; window=<MISSING>; probability=0.95"	TRUE
"estimate_pupil_peak_latency"	"prediction=<MISSING>; window=<MISSING>; probability=0.95"	TRUE
"estimate_pupil_residual_scale"	"fit=<MISSING>; newdata=NULL; ndraws=500L; probability=0.95"	FALSE
"estimate_pupil_response_parameters"	"fit=<MISSING>; probability=0.95"	FALSE
"estimate_pupil_threshold_duration"	"contrast=<MISSING>; direction=c(""above"", ""below"", ""absolute""); threshold=contrast$threshold; probability=0.95"	FALSE
"estimate_pupil_trajectory"	"prediction=<MISSING>; probability=0.95; interval=c(""pointwise"", ""simultaneous"")"	TRUE
"estimate_pupil_trajectory_derivative"	"prediction=<MISSING>; order=1L; probability=0.95"	FALSE
"estimate_pupil_window"	"prediction=<MISSING>; window=<MISSING>; probability=0.95"	TRUE
"estimate_standardized_duration_estimands"	"fit=<MISSING>; target_data=NULL; target_scale=c(""prepared"", ""raw""); predictive_quantile=0.9; ndraws=NULL; include_group_effects=FALSE; seed=1L"	TRUE
"estimate_standardized_probability_contrast"	"fit=<MISSING>; target_data=NULL; target_scale=c(""prepared"", ""raw""); ndraws=NULL; include_group_effects=FALSE"	TRUE
"evaluate_pathological_simulation"	"x=<MISSING>"	TRUE
"evidence_inventory_table"	"x=<MISSING>"	TRUE
"extract_expected_predictions"	"fit=<MISSING>; newdata=NULL; include_group_effects=FALSE; allow_new_levels=FALSE; ndraws=NULL"	TRUE
"extract_linear_predictions"	"fit=<MISSING>; newdata=NULL; include_group_effects=FALSE; allow_new_levels=FALSE; ndraws=NULL"	TRUE
"extract_log_likelihood"	"fit=<MISSING>; newdata=NULL; include_group_effects=TRUE; ndraws=NULL"	TRUE
"extract_posterior_draws"	"fit=<MISSING>; variables=NULL; regex=NULL; format=c(""array"", ""matrix"", ""df"", ""rvars"")"	TRUE
"extract_posterior_predictions"	"fit=<MISSING>; newdata=NULL; include_group_effects=FALSE; allow_new_levels=FALSE; ndraws=NULL; seed=1L"	TRUE
"extract_sampler_diagnostics"	"fit=<MISSING>"	TRUE
"fit_advanced_pupil_model"	"specification=<MISSING>; chains=4L; iter=2000L; warmup=1000L; cores=min(2L, chains); seed=2026; adapt_delta=0.95; max_treedepth=12L; refresh=0L"	FALSE
"fit_advanced_pupil_model_backend"	"specification=<MISSING>; backend=c(""rstan"", ""cmdstanr""); chains=4L; iter=2000L; warmup=1000L; cores=min(2L, chains); seed=2026; adapt_delta=0.95; max_treedepth=12L; refresh=0L"	FALSE
"fit_advanced_pupil_model_cmdstanr"	"specification=<MISSING>; chains=4L; iter=2000L; warmup=1000L; cores=min(2L, chains); seed=2026; adapt_delta=0.95; max_treedepth=12L; refresh=0L"	FALSE
"fit_binary_model"	"specification=<MISSING>; chains=4L; iter=2000L; warmup=1000L; cores=.gp3b_default_cores(chains); seed=1L; adapt_delta=0.95; max_treedepth=12L; refresh=0L"	TRUE
"fit_binary_model_backend"	"specification=<MISSING>; backend=c(""rstan"", ""cmdstanr""); chains=4L; iter=2000L; warmup=1000L; cores=.gp3b_default_cores(chains); seed=1L; adapt_delta=0.95; max_treedepth=12L; refresh=0L"	TRUE
"fit_binary_model_cmdstanr"	"specification=<MISSING>; chains=4L; iter=2000L; warmup=1000L; cores=.gp3b_default_cores(chains); seed=1L; adapt_delta=0.95; max_treedepth=12L; refresh=0L"	TRUE
"fit_binocular_pupil_model"	"specification=<MISSING>; backend=c(""rstan"", ""cmdstanr""); chains=4L; iter=2000L; warmup=1000L; cores=min(2L, chains); seed=2026; adapt_delta=0.95; max_treedepth=12L; refresh=0L"	FALSE
